run_uid,question_id,dataset,is_representative,is_correct,probe_margin,se_probe_margin,entropy_baseline_margin,probe_prob_correct,se_probe_prob_high,entropy_baseline_prob,semantic_entropy,mean_think_entropy,think_token_len,think_char_len,umap_x,umap_y
math-103-4,103,math,True,True,6.26164,-18.49662,1.11743,0.9981,0.0,0.75351,-0.0,0.10436,693,1861,1.86711,10.89431
math-382-1,382,math,False,False,-47.86232,-4.89198,-1.51552,0.0,0.00745,0.18012,-0.0,0.26144,8192,4,-19.37983,-3.3858
math-442-3,442,math,False,True,8.49737,-8.90687,1.30914,0.9998,0.00014,0.78737,-0.0,0.09292,539,1481,3.75603,6.00957
math-142-3,142,math,False,True,3.12063,12.09704,-1.71969,0.95774,0.99999,0.15191,0.32508,0.27362,1306,5274,1.67244,7.75068
math-421-1,421,math,False,False,-3.58232,3.91935,-0.12699,0.02706,0.98053,0.46829,0.61086,0.1786,1077,3290,14.09376,11.41462
math-224-4,224,math,False,True,6.99942,6.52534,0.48774,0.99909,0.99854,0.61957,0.5004,0.14193,6642,13613,-3.2696,5.38869
math-144-4,144,math,False,True,3.71459,-2.27266,0.94498,0.97621,0.09341,0.7201,-0.0,0.11465,2191,5530,14.00042,10.5605
math-123-6,123,math,False,True,1.75043,8.28607,0.90217,0.85201,0.99975,0.7114,0.63903,0.1172,632,1732,1.87802,7.41092
math-384-9,384,math,False,False,-4.70695,-10.25894,1.43609,0.00895,4e-05,0.80785,-0.0,0.08535,867,2338,1.21152,6.03191
math-147-7,147,math,False,True,5.277,-3.022,0.71065,0.99492,0.04644,0.67054,-0.0,0.12863,743,2058,2.9993,11.6949
math-86-2,86,math,False,True,6.30837,-7.8838,0.47154,0.99818,0.00038,0.61575,-0.0,0.14289,961,3260,1.87928,9.29115
math-374-7,374,math,False,True,18.4327,3.56048,0.84422,1.0,0.97236,0.69935,-0.0,0.12066,1360,3053,1.09436,8.1818
math-68-1,68,math,True,True,8.9857,-6.49379,-0.16348,0.99987,0.00151,0.45922,-0.0,0.18078,1154,3686,1.17593,8.55215
math-24-6,24,math,False,False,5.44554,-12.95842,0.90636,0.9957,0.0,0.71226,-0.0,0.11695,1067,3112,1.15929,5.86788
math-44-3,44,math,False,False,-31.8598,-24.41686,-1.00286,0.0,0.0,0.26838,-0.0,0.23086,8192,4,-18.16417,-3.55138
math-339-4,339,math,False,False,-2.03801,-0.71475,1.08681,0.11527,0.32855,0.74778,-0.0,0.10619,1609,3937,0.20617,9.34804
math-66-6,66,math,False,True,3.06487,11.62066,-0.6234,0.95542,0.99999,0.34901,0.63903,0.20822,604,1854,2.86253,9.69757
math-249-2,249,math,True,True,9.32182,4.49981,1.38705,0.99991,0.98901,0.80012,0.32508,0.08827,5738,11681,15.40318,10.11028
math-55-3,55,math,False,True,3.10001,3.40244,0.59718,0.95689,0.96778,0.64501,0.32508,0.1354,538,1513,3.65786,10.38925
math-415-2,415,math,False,True,12.4625,-11.41556,0.42726,1.0,1e-05,0.60522,-0.0,0.14554,1282,3264,14.23073,11.88096
math-434-6,434,math,False,True,-6.42007,-0.97746,1.0945,0.00163,0.2734,0.74923,-0.0,0.10573,1346,2932,-0.4867,8.81039
math-225-5,225,math,False,False,-6.39782,16.63221,0.5683,0.00166,1.0,0.63837,0.67301,0.13712,8192,4,13.7941,10.35113
math-314-5,314,math,False,True,8.62478,-7.0314,0.39933,0.99982,0.00088,0.59853,-0.0,0.1472,568,1979,2.39049,8.81702
math-449-5,449,math,False,True,4.89435,-3.15564,0.87845,0.99257,0.04087,0.7065,-0.0,0.11862,1186,2501,0.15736,10.78803
math-136-5,136,math,True,True,10.0512,-10.62824,0.73157,0.99996,2e-05,0.67515,-0.0,0.12738,1398,3767,0.58302,9.26909
math-484-6,484,math,False,True,6.46197,-0.37728,-0.59437,0.99844,0.40678,0.35563,-0.0,0.20649,4288,11927,18.59241,6.4626
math-263-9,263,math,False,True,6.67046,-9.54981,1.50097,0.99873,7e-05,0.81772,-0.0,0.08148,358,814,4.87755,10.15923
math-450-9,450,math,False,True,13.6927,-17.13517,0.63875,1.0,0.0,0.65447,-0.0,0.13292,761,1733,1.58355,10.70872
math-50-1,50,math,False,True,9.1773,-16.39873,1.12094,0.9999,0.0,0.75416,-0.0,0.10415,691,1874,5.37943,9.47791
math-3-9,3,math,False,True,10.27513,-6.19248,1.32293,0.99997,0.00204,0.78967,-0.0,0.0921,916,2095,-1.61887,1.58318
math-8-5,8,math,False,False,-6.69265,-2.84539,0.84954,0.00124,0.05492,0.70047,-0.0,0.12034,3218,8695,14.47048,10.31325
math-107-8,107,math,False,False,-4.9889,-13.8655,0.13671,0.00677,0.0,0.53412,-0.0,0.16287,808,3020,0.90819,6.67501
math-489-6,489,math,False,False,-3.36978,-11.55365,1.4152,0.03325,1e-05,0.80458,-0.0,0.0866,565,1372,3.29393,9.19003
math-472-3,472,math,False,True,10.11782,-12.44482,1.69724,0.99996,0.0,0.84517,-0.0,0.06977,570,1371,3.37059,9.24799
math-322-5,322,math,False,True,3.71615,-2.75684,0.41693,0.97625,0.0597,0.60275,-0.0,0.14615,812,2430,2.10606,8.75778
math-399-1,399,math,False,False,-31.53781,16.20969,-0.19585,0.0,1.0,0.45119,2.16396,0.18271,2715,6521,14.89259,10.28784
math-334-9,334,math,False,True,5.04389,5.61518,-1.53968,0.99359,0.99637,0.17658,1.16828,0.26288,7004,17755,18.63214,7.01135
math-310-5,310,math,True,True,10.33841,2.10221,-0.0547,0.99997,0.89112,0.48633,-0.0,0.17429,4789,11362,-2.95167,5.96787
math-317-8,317,math,False,True,7.13296,-9.40373,0.8631,0.9992,8e-05,0.70331,-0.0,0.11953,1634,4089,14.56982,11.56013
math-306-1,306,math,False,False,-5.30785,-12.08329,1.26171,0.00493,1e-05,0.77932,-0.0,0.09575,837,2060,5.39876,9.27719
math-357-6,357,math,False,True,4.83168,3.87073,0.81008,0.99209,0.97958,0.69213,0.32508,0.1227,2732,6984,-0.82231,6.87901
math-152-4,152,math,False,False,-2.31189,6.40912,-0.42604,0.09014,0.99836,0.39507,1.49787,0.19644,7477,18942,19.39759,6.94241
math-387-8,387,math,False,True,9.14449,-7.85181,0.506,0.99989,0.00039,0.62387,-0.0,0.14084,1408,3576,0.75879,7.12059
math-146-3,146,math,False,False,-31.98709,10.69003,1.05771,0.0,0.99998,0.74225,0.32508,0.10792,8192,4,-18.44132,-1.38993
math-22-8,22,math,False,False,-18.27573,5.37771,-0.26967,0.0,0.9954,0.43299,0.61086,0.18711,8192,4,-19.4993,-3.82798
math-216-0,216,math,False,True,9.25045,-15.89154,1.65008,0.9999,0.0,0.8389,-0.0,0.07258,1102,2428,1.1607,5.85724
math-321-0,321,math,False,True,5.6829,5.34168,-0.29994,0.99661,0.99523,0.42557,0.63903,0.18892,2430,6407,-2.01958,7.39916
math-295-7,295,math,False,False,-7.0396,29.07084,-0.81128,0.00088,1.0,0.30762,0.89795,0.21943,8192,4,-18.16657,-0.27059
math-177-5,177,math,False,True,-0.29165,-3.24524,0.13067,0.4276,0.0375,0.53262,0.32508,0.16323,2658,5821,-1.07704,7.95205
math-112-7,112,math,False,True,13.29981,-7.70944,0.52916,1.0,0.00045,0.62929,-0.0,0.13946,776,2267,3.07383,8.35273
math-483-2,483,math,False,False,-50.58532,15.88543,-1.33948,0.0,1.0,0.2076,1.41848,0.25094,8192,4,-19.32841,-2.08512
math-3-3,3,math,False,True,6.21526,-5.92075,1.46116,0.99801,0.00268,0.81171,-0.0,0.08385,662,1521,-1.50819,1.36779
math-330-3,330,math,False,True,4.58108,-2.33128,0.12786,0.98986,0.08857,0.53192,-0.0,0.1634,610,2028,3.6239,9.51285
math-420-0,420,math,False,False,-1.97911,4.13365,0.82383,0.12141,0.98423,0.69505,0.94045,0.12188,6794,17442,15.38913,10.05191
math-276-5,276,math,True,True,18.24676,-20.65793,0.95724,1.0,0.0,0.72257,-0.0,0.11392,412,983,-1.35988,1.14039
math-461-2,461,math,False,False,-50.87402,-4.57501,-1.42532,0.0,0.0102,0.19383,-0.0,0.25606,8192,4,-18.65522,-1.66319
math-358-4,358,math,False,True,3.75631,1.33821,0.50535,0.97716,0.79219,0.62372,0.32508,0.14088,2873,6677,-1.41341,6.93397
math-243-7,243,math,False,False,-6.42532,-7.83703,1.13901,0.00162,0.00039,0.7575,-0.0,0.10307,4691,8807,-2.63847,6.58702
math-10-4,10,math,False,False,-59.77199,-11.64517,-3.79968,0.0,1e-05,0.02189,-0.0,0.39771,8192,4,-19.5084,-2.13433
math-30-7,30,math,False,True,4.75793,5.5633,-1.58471,0.99149,0.99618,0.17013,0.61086,0.26557,1461,5358,1.54106,7.72369
math-39-6,39,math,False,True,5.1564,-8.27172,1.16567,0.99427,0.00026,0.76236,-0.0,0.10148,452,1180,4.01323,9.68274
math-132-1,132,math,False,True,3.29878,-9.0406,0.76883,0.96439,0.00012,0.68327,-0.0,0.12516,1113,2429,15.60623,12.7216
math-267-8,267,math,True,True,10.84258,-6.69334,0.54256,0.99998,0.00124,0.63241,-0.0,0.13866,943,2852,2.14004,8.76392
math-93-1,93,math,False,True,6.40035,-5.70098,1.19828,0.99834,0.00333,0.76822,-0.0,0.09954,2097,4692,-0.54334,7.91289
math-353-1,353,math,False,False,-86.30459,-4.33819,-0.92107,0.0,0.01289,0.28474,-0.0,0.22598,8192,4,-18.73978,-0.97279
math-315-7,315,math,False,True,5.12848,-6.30259,0.74604,0.99411,0.00183,0.67831,-0.0,0.12652,1104,3456,1.99875,10.26159
math-469-2,469,math,False,True,2.95757,6.87048,1.24097,0.95062,0.99896,0.77573,0.32508,0.09699,1008,2620,3.42859,3.75665
math-418-1,418,math,False,True,17.47063,-8.65052,0.18912,1.0,0.00018,0.54714,-0.0,0.15974,1033,2732,15.61835,12.73601
math-401-1,401,math,False,False,-42.3251,-3.58949,-2.31653,0.0,0.02687,0.08976,-0.0,0.30923,8192,4,-19.36285,-3.91459
math-80-3,80,math,False,True,5.34825,-15.26479,0.39326,0.99527,0.0,0.59707,-0.0,0.14756,635,1819,5.48388,9.44915
math-209-5,209,math,False,True,10.16151,-7.20893,0.62893,0.99996,0.00074,0.65225,-0.0,0.1335,924,2576,1.7684,8.47824
math-382-4,382,math,False,False,-20.49185,-9.97342,-1.11217,0.0,5e-05,0.24747,-0.0,0.23738,8192,4,-18.8033,-3.59003
math-183-3,183,math,False,True,6.27003,-9.87137,1.4052,0.99811,5e-05,0.80301,-0.0,0.08719,447,1274,3.9056,9.19747
math-98-3,98,math,False,False,-8.59147,6.24244,-1.53396,0.00019,0.99806,0.17741,0.94045,0.26254,1326,4026,1.28124,8.41147
math-87-5,87,math,False,True,11.05007,-8.2716,-0.64441,0.99998,0.00026,0.34425,-0.0,0.20947,451,1703,3.5023,9.05723
math-389-7,389,math,False,True,9.79536,-11.90781,1.3682,0.99994,1e-05,0.79709,-0.0,0.0894,1259,3264,13.02856,11.33881
math-480-9,480,math,False,True,3.70286,-2.19502,-1.62149,0.97594,0.1002,0.165,-0.0,0.26776,7366,21088,-2.93878,4.72948
math-58-3,58,math,False,True,7.65141,2.03833,0.70915,0.99952,0.88476,0.67021,0.32508,0.12872,945,2464,2.81591,7.51961
math-63-8,63,math,False,True,8.86142,-3.64218,1.22178,0.99986,0.02553,0.77238,-0.0,0.09813,4899,11965,-2.85909,5.3719
math-21-7,21,math,True,True,10.0261,-11.36178,-0.02709,0.99996,1e-05,0.49323,-0.0,0.17264,432,1268,3.40015,11.02783
math-167-5,167,math,False,False,-26.95672,-18.49915,-2.49441,0.0,0.0,0.07625,-0.0,0.31984,8192,4,-19.00707,-2.4963
math-67-7,67,math,False,True,7.50484,-17.83674,1.04351,0.99945,0.0,0.73953,-0.0,0.10877,1094,2596,1.1848,5.85452
math-361-0,361,math,False,True,1.24308,-6.10197,-0.13295,0.7761,0.00223,0.46681,-0.0,0.17896,2051,5995,14.52241,10.97775
math-371-0,371,math,True,True,12.0785,-3.82554,0.7255,0.99999,0.02134,0.67382,-0.0,0.12774,571,1722,2.62385,10.39384
math-432-6,432,math,False,False,-4.57229,6.93441,0.77719,0.01023,0.99903,0.68507,1.74807,0.12466,7324,16745,-2.68818,3.78807
math-51-3,51,math,False,True,3.53292,7.8226,0.44982,0.97161,0.9996,0.6106,0.32508,0.14419,2747,6183,-1.63366,7.20522
math-9-9,9,math,False,True,8.69573,-11.28941,0.81746,0.99983,1e-05,0.6937,-0.0,0.12226,858,2413,2.11472,9.7432
math-203-3,203,math,False,True,6.57892,-5.85542,-0.62832,0.99861,0.00286,0.34789,-0.0,0.20851,3276,10058,-1.40745,7.11456
math-214-9,214,math,False,True,11.16947,5.15381,-0.30938,0.99999,0.99426,0.42327,0.32508,0.18948,4638,11651,18.54664,6.42872
math-267-1,267,math,False,True,9.65536,-8.65469,0.84637,0.99994,0.00017,0.69981,-0.0,0.12053,993,2792,2.06435,8.82866
math-187-9,187,math,False,True,2.24359,-3.03907,0.77885,0.9041,0.04569,0.68543,-0.0,0.12456,2676,6899,-1.23854,6.98427
math-63-5,63,math,False,True,7.51264,-5.52233,1.50116,0.99945,0.00398,0.81775,-0.0,0.08147,3245,7656,14.30899,10.22971
math-32-8,32,math,False,False,-7.53323,-8.63804,0.75386,0.00053,0.00018,0.68002,-0.0,0.12605,654,1701,3.09848,11.64966
math-124-1,124,math,True,True,5.66884,6.57165,0.42976,0.99656,0.9986,0.60582,1.16828,0.14539,6460,15440,15.25582,9.94759
math-171-5,171,math,False,True,5.14087,4.0473,0.69489,0.99418,0.98283,0.66705,0.67301,0.12957,4979,11744,-2.68397,5.21869
math-259-4,259,math,False,True,4.55252,-4.86573,1.18187,0.98957,0.00765,0.76528,0.32508,0.10052,860,2270,2.60414,8.02289
math-171-8,171,math,False,False,-36.0069,20.11856,-0.8499,0.0,1.0,0.29945,0.67301,0.22173,8192,4,-17.84006,0.66114
math-181-6,181,math,False,True,2.54963,3.90977,0.90969,0.92755,0.98035,0.71294,0.63903,0.11675,1704,4186,0.31151,7.68138
math-145-0,145,math,False,True,15.01094,-6.2281,0.23581,1.0,0.00197,0.55868,-0.0,0.15696,569,1594,4.88357,9.56585
math-84-9,84,math,False,True,-4.65233,-6.55653,0.62419,0.00945,0.00142,0.65117,-0.0,0.13379,3536,7188,-1.51166,6.50757
math-96-2,96,math,False,True,11.83844,-9.80941,1.00283,0.99999,5e-05,0.73162,-0.0,0.1112,975,2289,12.76352,12.5328
math-290-3,290,math,False,True,8.39944,-5.16709,0.31278,0.99978,0.00567,0.57756,-0.0,0.15237,3055,7765,-1.20772,6.94708
math-451-1,451,math,False,True,7.6661,-6.06045,0.72769,0.99953,0.00233,0.6743,-0.0,0.12761,2508,5574,-1.29434,7.11745
math-266-3,266,math,False,True,18.51718,-5.33568,0.40269,1.0,0.00479,0.59933,-0.0,0.147,914,2381,1.57804,9.50604
math-263-4,263,math,False,True,7.64591,-9.44052,0.64499,0.99952,8e-05,0.65588,-0.0,0.13255,610,1473,5.13974,9.66474
math-32-0,32,math,False,False,-5.32545,-8.41487,0.72189,0.00484,0.00022,0.67302,-0.0,0.12796,583,1605,3.21667,11.57347
math-293-1,293,math,False,True,7.63541,8.5271,0.92441,0.99952,0.9998,0.71594,0.5004,0.11588,6030,11885,-2.65855,4.79707
math-178-0,178,math,False,False,-15.2422,8.8293,-1.99133,0.0,0.99985,0.12012,1.16828,0.28983,7767,23902,-3.27409,4.75362
math-139-7,139,math,False,False,-20.55076,5.45225,-2.93482,0.0,0.99573,0.05046,0.80182,0.34612,8192,4,-19.33088,-3.56621
math-396-6,396,math,False,True,1.01434,-5.85966,0.37132,0.73387,0.00284,0.59178,-0.0,0.14887,1676,4448,1.37911,10.552
math-27-9,27,math,False,False,-19.71607,4.14552,-2.34764,0.0,0.98441,0.08725,0.94045,0.31109,8192,4,-19.5538,-3.25678
math-285-0,285,math,True,False,-5.93454,-16.33106,1.0724,0.00264,0.0,0.74505,-0.0,0.10705,8192,4,-18.02737,0.1485
math-361-9,361,math,False,True,6.24437,-3.06749,-0.21718,0.99806,0.04447,0.44592,-0.0,0.18398,1796,5058,14.59968,10.8989
math-277-0,277,math,False,True,1.15,-3.45626,0.84204,0.75951,0.03058,0.69889,-0.0,0.12079,3230,7977,-1.5389,6.80708
math-378-1,378,math,False,True,6.58223,2.59521,-0.81607,0.99862,0.93055,0.3066,0.32508,0.21971,3895,9843,-2.07912,5.44182
math-354-9,354,math,False,True,7.10548,-5.82215,0.00909,0.99918,0.00295,0.50227,-0.0,0.17048,1734,5989,13.73982,11.49301
math-398-0,398,math,False,True,6.60027,-16.25053,1.01551,0.99864,0.0,0.7341,-0.0,0.11044,517,1278,5.17845,9.68976
math-112-6,112,math,False,True,10.05191,-7.69306,0.22686,0.99996,0.00046,0.55647,-0.0,0.15749,757,2292,3.07989,8.35713
math-392-7,392,math,False,False,-51.39255,12.67363,0.27108,0.0,1.0,0.56736,0.32508,0.15485,8192,4,-18.46572,-0.76096
math-250-3,250,math,False,True,3.53331,-4.68511,1.24167,0.97162,0.00915,0.77585,-0.0,0.09695,3043,6060,-1.47908,6.98074
math-178-5,178,math,False,False,-57.2057,4.83116,-1.86129,0.0,0.99209,0.13455,1.16828,0.28207,8192,4,-19.33609,-1.90152
math-496-8,496,math,False,True,3.24953,3.0323,0.21698,0.96266,0.95401,0.55403,0.32508,0.15808,2948,7843,-2.16967,2.73263
math-24-2,24,math,False,False,3.82235,-12.59656,0.69587,0.97859,0.0,0.66727,-0.0,0.12951,1429,4249,0.92431,5.97521
math-190-5,190,math,False,False,-53.71184,-9.28134,-0.92803,0.0,9e-05,0.28332,-0.0,0.22639,8192,4,-18.47148,-0.99735
math-443-7,443,math,False,True,14.30244,-13.01866,0.70029,1.0,0.0,0.66825,-0.0,0.12925,1064,2572,-1.75044,1.70896
math-128-4,128,math,False,False,-10.04063,-4.02988,0.97583,4e-05,0.01747,0.72628,-0.0,0.11281,1162,3149,0.39151,9.60962
math-25-9,25,math,False,False,-11.90071,2.49878,0.81535,1e-05,0.92406,0.69325,2.30259,0.12238,2022,5223,14.99961,11.31748
math-462-8,462,math,True,True,14.18278,-8.28036,0.13916,1.0,0.00025,0.53473,-0.0,0.16272,4080,10342,16.09251,12.45702
math-477-1,477,math,False,True,6.29446,6.00438,0.2267,0.99816,0.99754,0.55643,0.63903,0.1575,1018,3213,2.28465,7.80549
math-445-8,445,math,False,False,-44.83028,11.30211,-1.0474,0.0,0.99999,0.25972,-0.0,0.23351,8192,4,-18.84622,-1.04784
math-488-9,488,math,False,True,10.73875,-7.48718,1.05242,0.99998,0.00056,0.74124,-0.0,0.10824,914,2008,1.16187,9.49209
math-217-7,217,math,False,True,-3.94758,0.26943,0.1166,0.01894,0.56695,0.52912,0.94045,0.16407,1316,3790,1.38447,7.77469
math-406-8,406,math,False,True,3.92955,5.50815,-0.04323,0.98073,0.99596,0.48919,0.32508,0.1736,968,3457,2.07524,8.19073
math-375-4,375,math,False,True,6.42706,-5.09095,0.26855,0.99839,0.00611,0.56674,-0.0,0.155,589,1937,3.60102,9.73977
math-449-0,449,math,False,True,3.91982,-3.98254,0.68895,0.98054,0.0183,0.66573,-0.0,0.12992,1620,3376,0.1599,10.80639
math-364-7,364,math,False,True,13.93093,-15.78963,0.70393,1.0,0.0,0.66906,-0.0,0.12903,505,1572,4.96511,9.34254
math-321-5,321,math,False,False,-5.48261,5.76493,-2.39686,0.00414,0.99687,0.08341,0.63903,0.31402,7904,25333,18.7514,6.81115
math-183-9,183,math,False,True,9.57067,-10.6907,1.73369,0.99993,2e-05,0.84988,-0.0,0.06759,484,1186,3.75149,9.1038
math-489-7,489,math,True,False,-1.98959,-7.6307,1.12161,0.1203,0.00049,0.75429,-0.0,0.10411,649,1536,3.20522,9.04833
math-333-3,333,math,False,False,-42.60206,0.95837,-0.64237,0.0,0.7228,0.34471,1.16828,0.20935,8192,4,-18.43354,-1.39499
math-455-2,455,math,True,True,6.64373,-1.06922,-1.13766,0.9987,0.25555,0.24275,-0.0,0.2389,4888,13560,18.71092,6.40526
math-239-0,239,math,True,True,12.99135,-7.27962,0.76495,1.0,0.00069,0.68243,-0.0,0.12539,1801,5305,15.84586,12.70497
math-1-8,1,math,False,False,-6.34232,-4.47564,-0.36276,0.00176,0.01125,0.41029,-0.0,0.19267,742,2337,2.18696,10.21137
math-365-4,365,math,False,True,6.43138,-3.89826,-1.38353,0.99839,0.01987,0.20044,-0.0,0.25357,6167,18552,19.31656,6.77097
math-357-7,357,math,False,True,3.73548,4.58093,0.16351,0.97669,0.98986,0.54079,0.32508,0.16127,2134,5585,13.54822,10.98522
math-459-4,459,math,False,True,2.55468,8.5771,-2.08324,0.92789,0.99981,0.11074,0.32508,0.29531,2714,9041,-1.73123,7.69307
math-20-4,20,math,False,False,-4.2326,5.49282,-1.09574,0.01431,0.9959,0.25054,0.94045,0.2364,7746,22851,-2.89063,4.54533
math-264-4,264,math,False,True,3.96322,-3.81984,0.78473,0.98135,0.02146,0.6867,-0.0,0.12421,1072,2977,1.87829,8.60823
math-397-3,397,math,False,False,-6.4273,5.094,-0.4202,0.00161,0.9939,0.39647,0.89795,0.19609,8192,4,-19.12041,-3.61923
math-109-1,109,math,False,False,-39.77716,-21.94667,-1.97613,0.0,0.0,0.12173,-0.0,0.28892,8192,4,-17.88499,-0.16471
math-148-8,148,math,False,False,-8.49285,6.83523,-0.30024,0.0002,0.99893,0.4255,1.49787,0.18894,7808,19337,19.38532,6.9647
math-21-1,21,math,False,True,5.9273,-11.35796,0.29772,0.99734,1e-05,0.57388,-0.0,0.15326,394,1161,3.57042,10.97643
math-450-1,450,math,False,True,10.03861,-16.93271,0.51466,0.99996,0.0,0.6259,-0.0,0.14032,850,2027,1.60461,10.72845
math-139-2,139,math,False,False,-56.09236,4.84367,-3.47778,0.0,0.99218,0.02995,0.80182,0.37851,8192,4,-19.38523,-3.51705
math-207-0,207,math,False,False,-2.22891,2.55154,0.72087,0.09718,0.92768,0.6728,1.05492,0.12802,1499,3565,0.96336,8.75897
math-379-8,379,math,False,True,1.62494,5.30181,1.23543,0.83548,0.99504,0.77477,0.94045,0.09732,1801,4192,0.18402,7.67303
math-255-9,255,math,False,True,9.09788,-7.76252,-0.04521,0.99989,0.00043,0.4887,-0.0,0.17372,2064,6415,-0.10976,7.52223
math-428-8,428,math,False,True,6.34259,-10.82503,0.75772,0.99824,2e-05,0.68086,-0.0,0.12582,636,1850,2.80302,9.03574
math-231-7,231,math,False,True,6.81317,-3.99185,-0.95472,0.9989,0.01813,0.27794,-0.0,0.22798,6448,18302,18.56523,7.0926
math-338-6,338,math,False,True,10.41811,-4.67334,-0.12318,0.99997,0.00925,0.46924,-0.0,0.17837,1044,3345,1.55601,8.40947
math-383-9,383,math,False,True,6.26171,7.09325,-0.93351,0.9981,0.99917,0.28221,0.63903,0.22672,6552,22242,15.33513,10.0201
math-65-2,65,math,False,False,-18.66869,4.428,0.89558,0.0,0.9882,0.71004,0.89795,0.1176,8192,4,-18.26492,-3.6525
math-411-9,411,math,False,True,5.82372,-2.93278,0.42629,0.99705,0.05056,0.60499,-0.0,0.14559,1241,3240,1.48607,9.73204
math-36-4,36,math,False,True,5.80712,-11.71939,1.05343,0.997,1e-05,0.74143,-0.0,0.10818,1050,2437,13.83828,11.28793
math-437-6,437,math,False,True,2.66395,5.50225,0.35845,0.93487,0.99594,0.58867,0.32508,0.14964,2728,6940,-1.19293,5.95023
math-35-9,35,math,False,True,6.69183,5.83223,1.37901,0.99876,0.99708,0.79883,0.32508,0.08875,2240,4873,-0.93459,8.04556
math-224-1,224,math,False,False,-6.72851,35.28523,-0.16204,0.00119,1.0,0.45958,0.5004,0.18069,8192,4,-18.0338,-3.71533
math-317-4,317,math,False,True,7.73169,-11.8004,1.28138,0.99956,1e-05,0.78268,-0.0,0.09458,1266,3167,14.61305,11.82228
math-364-6,364,math,False,True,6.00917,-14.64254,1.14308,0.99755,0.0,0.75825,-0.0,0.10283,648,1951,4.99393,9.3029
math-247-1,247,math,False,True,4.5821,5.49905,-1.08407,0.98987,0.99593,0.25274,0.63903,0.2357,912,3151,2.27126,7.55162
math-12-0,12,math,False,False,-33.60477,-9.3323,-0.04626,0.0,9e-05,0.48844,-0.0,0.17379,8192,4,-19.29369,-3.33961
math-353-4,353,math,False,False,-33.05776,-19.86439,-0.64366,0.0,0.0,0.34442,-0.0,0.20943,8192,4,-19.20335,-1.76597
math-447-0,447,math,False,True,4.85394,-6.33659,1.33687,0.99226,0.00177,0.79198,-0.0,0.09127,1400,3037,13.8649,11.35019
math-461-4,461,math,False,False,-65.14567,-6.05547,-1.97229,0.0,0.00234,0.12214,-0.0,0.28869,8192,4,-19.57526,-3.90721
math-459-1,459,math,False,True,2.23058,6.86477,-1.81799,0.90296,0.99896,0.13967,0.32508,0.27949,2497,8306,-1.7225,7.73284
math-71-0,71,math,False,False,-7.18189,3.96389,0.27518,0.00076,0.98136,0.56836,0.94045,0.15461,675,1827,0.42632,9.79943
math-241-6,241,math,False,False,-32.27768,-5.8854,-1.54058,0.0,0.00277,0.17645,-0.0,0.26294,8192,4,-19.50457,-3.92563
math-90-1,90,math,False,False,-1.69424,2.18394,1.67403,0.15522,0.8988,0.84211,0.94045,0.07115,2347,4339,-1.14291,7.74417
math-474-4,474,math,False,True,6.89564,5.53891,-1.91223,0.99899,0.99608,0.12873,0.94045,0.28511,6365,18579,18.588,6.75769
math-494-4,494,math,False,True,13.76693,-4.87116,1.26631,1.0,0.00761,0.78011,-0.0,0.09548,3093,6770,15.9079,11.54613
math-332-6,332,math,False,True,8.71262,4.62698,0.91468,0.99984,0.99031,0.71396,-0.0,0.11646,2321,5038,14.60717,10.7625
